Day,Date,DotW,Faculty_A,Faculty_B,Faculty_C,Faculty_F,Faculty_G,Faculty_H,Faculty_J,Faculty_E
1,2026-07-01,W,,,,VACATION,PROFESSIONAL,,,x
2,2026-07-02,R,,x,,VACATION,PROFESSIONAL,,,x
3,2026-07-03,F,x,x,x,x,x,x,x,x
4,2026-07-04,St,x,x,x,x,x,x,x,x
5,2026-07-05,Su,x,x,x,x,x,x,x,x
6,2026-07-06,M,,,,VACATION,PROFESSIONAL,NON-CLINICAL,,x
7,2026-07-07,T,,,,VACATION,PROFESSIONAL,NON-CLINICAL,,x
8,2026-07-08,W,,,,VACATION,PROFESSIONAL,NON-CLINICAL,,x
9,2026-07-09,R,,x,,VACATION,PROFESSIONAL,NON-CLINICAL,,x
10,2026-07-10,F,,,,VACATION,PROFESSIONAL,NON-CLINICAL,,x
11,2026-07-11,St,x,x,x,x,x,x,x,x
12,2026-07-12,Su,x,x,x,x,x,x,x,x
13,2026-07-13,M,,,,VACATION,CYTOLOGY,,,x
14,2026-07-14,T,,,,VACATION,CYTOLOGY,,,x
15,2026-07-15,W,,,,VACATION,CYTOLOGY,,,x
16,2026-07-16,R,,x,,VACATION,CYTOLOGY,,,x
17,2026-07-17,F,,,,VACATION,CYTOLOGY,,,x
18,2026-07-18,St,x,x,x,x,x,x,x,x
19,2026-07-19,Su,x,x,x,x,x,x,x,x
20,2026-07-20,M,,,,VACATION,CYTOLOGY,,VACATION,x
21,2026-07-21,T,,,,VACATION,CYTOLOGY,,VACATION,x
22,2026-07-22,W,,,,VACATION,CYTOLOGY,,VACATION,x
23,2026-07-23,R,,x,,VACATION,CYTOLOGY,,VACATION,x
24,2026-07-24,F,,,,VACATION,CYTOLOGY,,VACATION,x
25,2026-07-25,St,x,x,x,x,x,x,x,x
26,2026-07-26,Su,x,x,x,x,x,x,x,x
27,2026-07-27,M,CYTOLOGY,,,,GYN,NON-CLINICAL,,x
28,2026-07-28,T,CYTOLOGY,,,,GYN,NON-CLINICAL,,x
29,2026-07-29,W,,,,,GYN,NON-CLINICAL,,x
30,2026-07-30,R,CYTOLOGY,x,,,,NON-CLINICAL,,x
31,2026-07-31,F,CYTOLOGY,,,,,NON-CLINICAL,,x
32,2026-08-01,St,x,x,x,x,x,x,x,x
33,2026-08-02,Su,x,x,x,x,x,x,x,x
34,2026-08-03,M,,,,,CYTOLOGY,VACATION,,x
35,2026-08-04,T,,,,,CYTOLOGY,VACATION,,x
36,2026-08-05,W,,,,,CYTOLOGY,VACATION,,x
37,2026-08-06,R,,x,,NON-CLINICAL,CYTOLOGY,VACATION,,x
38,2026-08-07,F,,,,NON-CLINICAL,CYTOLOGY,VACATION,,x
39,2026-08-08,St,x,x,x,x,x,x,x,x
40,2026-08-09,Su,x,x,x,x,x,x,x,x
41,2026-08-10,M,,,,NON-CLINICAL,CYTOLOGY,,,x
42,2026-08-11,T,,,,,CYTOLOGY,,,x
43,2026-08-12,W,,,,,CYTOLOGY,,,x
44,2026-08-13,R,,x,,,CYTOLOGY,,,x
45,2026-08-14,F,,,,,CYTOLOGY,,,x
46,2026-08-15,St,x,x,x,x,x,x,x,x
47,2026-08-16,Su,x,x,x,x,x,x,x,x
48,2026-08-17,M,,,,,GYN,,,x
49,2026-08-18,T,,,,,GYN,,,x
50,2026-08-19,W,,,,,GYN,,,x
51,2026-08-20,R,,x,,,,,,x
52,2026-08-21,F,,,,,,,,x
53,2026-08-22,St,x,x,x,x,x,x,x,x
54,2026-08-23,Su,x,x,x,x,x,x,x,x
55,2026-08-24,M,CYTOLOGY,,,,,NON-CLINICAL,,x
56,2026-08-25,T,CYTOLOGY,,,,,NON-CLINICAL,,x
57,2026-08-26,W,CYTOLOGY,,,,,NON-CLINICAL,,x
58,2026-08-27,R,CYTOLOGY,x,,,,NON-CLINICAL,,x
59,2026-08-28,F,,,,,CYTOLOGY,NON-CLINICAL,,x
60,2026-08-29,St,x,x,x,x,x,x,x,x
61,2026-08-30,Su,x,x,x,x,x,x,x,x
62,2026-08-31,M,,,,,CYTOLOGY,,,x
63,2026-09-01,T,,,,,CYTOLOGY,,,x
64,2026-09-02,W,,,,,CYTOLOGY,,,x
65,2026-09-03,R,,x,,,CYTOLOGY,,,x
66,2026-09-04,F,,,,,CYTOLOGY,,,x
67,2026-09-05,St,x,x,x,x,x,x,x,x
68,2026-09-06,Su,x,x,x,x,x,x,x,x
69,2026-09-07,M,x,x,x,x,x,x,x,x
70,2026-09-08,T,,,,,CYTOLOGY,,,x
71,2026-09-09,W,,,,,,,,x
72,2026-09-10,R,,x,,,,,,x
73,2026-09-11,F,,,,,,,VACATION,x
74,2026-09-12,St,x,x,x,x,x,x,x,x
75,2026-09-13,Su,x,x,x,x,x,x,x,x
76,2026-09-14,M,,,,,CYTOLOGY,,VACATION,x
77,2026-09-15,T,,,,,CYTOLOGY,,VACATION,x
78,2026-09-16,W,,,,,CYTOLOGY,,VACATION,x
79,2026-09-17,R,CYTOLOGY,x,,,,,VACATION,x
80,2026-09-18,F,CYTOLOGY,,,,,,VACATION,x
81,2026-09-19,St,x,x,x,x,x,x,x,x
82,2026-09-20,Su,x,x,x,x,x,x,x,x
83,2026-09-21,M,CYTOLOGY,,,,GYN,,,x
84,2026-09-22,T,CYTOLOGY,,,,GYN,,,x
85,2026-09-23,W,CYTOLOGY,,,,GYN,,,x
86,2026-09-24,R,CYTOLOGY,x,,,,,,x
87,2026-09-25,F,CYTOLOGY,,,,,,,x
88,2026-09-26,St,x,x,x,x,x,x,x,x
89,2026-09-27,Su,x,x,x,x,x,x,x,x
90,2026-09-28,M,,,,,CYTOLOGY,NON-CLINICAL,,x
