Resident,Rotation,Start_Week,End_Week
Resident_AA,SCH,1,10
Resident_AB,SCH,1,10
Resident_AC,SCH,1,10
Resident_AD,SCH,1,10
Resident_AE,SCH,1,10
Resident_AF,SCH,1,10
Resident_AG,SCH,1,10
Resident_AA,BRST,33,37
Resident_AA,BST,33,37
Resident_AA,DERM,33,37
Resident_AA,GI,33,37
Resident_AA,GU,33,37
Resident_AA,GYN,33,37
Resident_AA,HEMEP,33,37
Resident_AA,HNL,33,37
Resident_AA,NEURO,33,37
Resident_AA,RENAL,33,37
Resident_AI,BRST,33,37
Resident_AI,BST,33,37
Resident_AI,DERM,33,37
Resident_AI,GI,33,37
Resident_AI,GU,33,37
Resident_AI,GYN,33,37
Resident_AI,HEMEP,33,37
Resident_AI,HNL,33,37
Resident_AI,NEURO,33,37
Resident_AI,RENAL,33,37
