Resident,Cohort,ORIENTATION,AUTOPSY,BRST,BST,CYTOP,DERM,GI,GU,GYN,HNL,KCME,NEURO,RENAL,SCH,VA,MENTORSHIP,HEMEP,AFB,BWNW,CHEM,CORE,CYTOG,HEMEC,IMM,INFO,MGP,MICRO,SCHLM,TM1,TM2,VIR,OTHER,VACATION,Non_Elective,Sum
Resident_AA,AP1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,47,52
Resident_AB,AP1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,47,52
Resident_AC,AP1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,47,52
Resident_AD,AP1,,,,,,,,,,,,,,,-3,,1,,,,,,,,,,,,,,,3,4,47,52
Resident_AE,AP1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,47,52
Resident_AF,AP1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,47,52
Resident_AG,AP1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,47,52
Resident_AH,AP2,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,4,44,52
Resident_AI,AP2,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,44,52
Resident_AJ,AP2,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,44,52
Resident_AK,AP2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,44,52
Resident_AL,AP2,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,4,44,52
Resident_AM,AP2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,4,44,52
Resident_AN,AP2,,,,,,,,,,,4,-1,-1,-6,,,,,,,,,,,,,,,,,,8,4,44,52
Resident_AO,AP3,,,,,4,2,1,,,,2,,1,,,4,4,,,,,,,,,,,,,,,30,4,0,52
Resident_AP,AP3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,0,52
Resident_AQ,CP1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,1,4,48,52
Resident_AR,CP1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,1,4,48,52
Resident_AS,CP1,,,,,,,,,,,,,,,,,-4,,4,,,,-4,,,,,,,,-2,6,4,48,52
Resident_AT,CP1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,1,4,48,52
Resident_AU,CP1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,1,4,48,52
Resident_AV,CP1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,1,4,48,52
Resident_AW,CP1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,1,4,48,52
Resident_AX,CP1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,1,4,48,52
Resident_AY,CP2,,,,,3,3,,,,,,,,,,5,,,,7,,,3,,,,,,,,,22,3,6,52
Resident_AZ,CP2,,,,,3,,,,,,,,,,,4,,,,,,,,,,8,8,4,,,,15,4,6,52
Resident_BA,CP2,,,,,,1,,,,,,,,,,5,8,,,,,,,,4,6,,4,,,,14,4,6,52
Resident_BB,CP2,,,,,,,,,,,-2,,2,,,4,,,,4,,,,,8,,,4,,,,22,4,6,52
Resident_BC,CP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,4,0,52
Resident_BD,CP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,4,0,52
