Rotation,AP1_min,AP1_max,AP2_min,AP2_max,AP3_min,AP3_max,CP1_min,CP1_max,CP2_min,CP2_max,CP3_min,CP3_max,Preferred_n,Capacity_max,Required_min
AUTOPSY,5,6,5,6,0,0,0,0,0,0,0,0,2,2,1
BRST,3,4,3,4,0,0,0,0,0,0,0,0,1,1,0
BST,3,4,3,4,0,0,0,0,0,0,0,0,1,2,0
CYTOP,2,2,5,6,0,0,0,0,0,0,0,0,1,2,0
DERM,2,2,3,3,0,0,0,0,0,0,0,0,1,2,0
GI,3,4,3,4,0,0,0,0,0,0,0,0,1,1,1
GU,3,4,3,4,0,0,0,0,0,0,0,0,1,2,1
GYN,3,4,3,4,0,0,0,0,0,0,0,0,1,2,0
HEMEP,4,4,0,0,0,0,8,8,0,0,0,0,1,2,0
HNL,3,4,3,4,0,0,0,0,0,0,0,0,1,2,0
KCME,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0
MENTORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
NEURO,0,0,2,2,0,0,0,0,0,0,0,0,1,3,0
ORIENTATION,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0
RENAL,1,1,1,1,0,0,0,0,0,0,0,0,1,3,0
SCH,1,2,4,6,0,0,0,0,0,0,0,0,1,2,0
VA,11,13,0,0,0,0,0,0,0,0,0,0,2,3,0
OTHER,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
VACATION,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
AFB,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0
BWNW,0,0,0,0,0,0,0,0,4,4,0,0,2,2,0
CHEM,0,0,0,0,0,0,7,8,0,0,0,0,1,2,0
CORE,0,0,0,0,0,0,4,4,0,0,0,0,NA,NA,0
CYTOG,0,0,0,0,0,0,2,2,0,0,0,0,1,2,0
HEMEC,0,0,0,0,0,0,3,4,0,0,0,0,1,2,0
IMM,0,0,0,0,0,0,3,3,0,0,0,0,1,2,0
INFO,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
MGP,0,0,0,0,0,0,3,4,0,0,0,0,1,2,0
MICRO,0,0,0,0,0,0,3,4,0,0,0,0,1,2,0
SCHLM,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
TM1,0,0,0,0,0,0,3,4,0,0,0,0,1,2,0
TM2,0,0,0,0,0,0,3,4,0,0,0,0,1,2,0
VIR,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0
