Resident,Cohort,Vac1,Vac1_Alt,Vac2,Vac2_Alt,Vac3,Vac3_Alt,Vac4,Vac4_Alt
Resident_AA,AP1,2026-11-30,2026-11-23,2026-12-28,2026-12-21,2027-06-14,,2027-06-21,
Resident_AB,AP1,2026-11-16,,2027-02-08,2027-02-15,2027-03-22,2027-03-15,2027-06-14,2027-06-21
Resident_AC,AP1,2026-08-31,2026-09-07,2027-03-15,2027-03-22,2027-06-21,2027-06-14,,
Resident_AD,AP1,2026-10-19,2026-10-12,2026-12-28,2026-12-21,2027-01-25,2027-04-12,2027-05-24,2027-05-17
Resident_AE,AP1,2026-10-19,2026-10-26,2026-12-21,2026-12-14,2027-04-05,2027-04-12,2027-05-24,2027-05-10
Resident_AF,AP1,2026-09-28,2026-09-21,2026-12-21,2026-12-28,2027-02-08,2027-02-15,2027-06-21,2027-06-07
Resident_AG,AP1,2026-08-31,2026-09-07,2027-01-04,2027-01-11,2027-03-22,2027-03-15,2027-04-26,2027-05-03
Resident_AH,AP2,2026-07-06,,2026-09-21,2026-09-14,2027-02-08,2027-02-15,2027-03-22,2027-03-29
Resident_AI,AP2,2026-11-30,,2026-12-07,,2027-03-08,2027-03-15,2027-05-24,2027-05-31
Resident_AJ,AP2,2026-10-05,2026-10-19,2026-11-23,,2026-12-21,,2027-03-08,2027-03-15
Resident_AK,AP2,2026-08-17,2026-08-24,2026-11-30,2026-11-09,2027-02-15,2027-02-08,2027-05-24,2027-05-31
Resident_AL,AP2,2026-10-26,2026-11-02,2027-03-08,2027-03-15,2027-05-03,2027-04-12,2027-06-21,2027-06-14
Resident_AM,AP2,2026-08-17,2026-08-31,2026-11-30,2026-11-23,2027-03-22,2027-03-01,2027-05-10,2027-05-03
Resident_AN,AP3,2026-08-17,2026-09-14,2027-03-08,2027-03-22,2027-05-17,2027-05-24,2027-06-21,2027-06-14
Resident_AO,AP3,2026-11-23,,2027-02-15,,2027-02-22,,2027-06-07,
Resident_AP,AP3,,,,,,,,
Resident_AQ,CP1,2026-12-21,2026-12-28,2026-09-21,2026-09-14,2027-03-29,2027-03-22,2027-06-14,2027-06-21
Resident_AR,CP1,2026-12-28,2026-12-21,2027-02-01,2027-02-08,2027-05-03,2027-05-10,2026-10-05,2026-10-12
Resident_AS,CP1,2026-12-21,2026-12-28,2026-09-14,2026-09-21,2027-02-22,2027-02-15,2027-04-12,2027-04-19
Resident_AT,CP1,2026-09-07,2026-09-14,2026-12-28,2026-12-21,2027-02-15,2027-02-08,2027-05-10,2027-05-17
Resident_AU,CP1,2026-08-31,2026-09-21,2026-12-21,2026-12-28,2027-02-22,2027-03-01,2027-05-24,2027-05-31
Resident_AV,CP1,2027-02-22,2027-02-15,2027-05-24,2027-05-17,2026-08-31,2026-09-07,2026-11-23,2026-11-30
Resident_AW,CP1,2026-11-23,,2026-12-21,,2026-12-28,,2027-02-15,
Resident_AX,CP1,2026-12-21,2026-12-28,2026-08-17,,2027-06-21,2027-06-14,2027-04-19,2027-04-26
Resident_AY,CP2,2026-09-07,,2026-12-21,,2026-12-28,,,
Resident_AZ,CP2,2026-09-21,,2026-12-21,,2027-02-08,,2027-06-14,
Resident_BA,CP2,2026-08-24,,2026-12-21,,2027-02-15,,2027-04-12,
Resident_BB,CP2,2026-11-09,,2027-01-25,,2027-03-15,,2027-06-14,
Resident_BC,CP3,2026-11-23,,2026-12-21,,2026-12-28,,2027-01-04,
Resident_BD,CP3,2026-07-20,,2026-10-05,,2026-12-21,,2027-03-08,
